Title,Case Number,Created On,Actual Service Units,Billed Service Units,Case Origin,Case Stage,Case Type,Contract,Contract Line,Created By,Customer,Decrementing,Description,Follow Up By,Modified By,Modified On,Propriétaire,Priority,Product,Responsible Contact,Satisfaction,Serial Number,Service Level,Severity,Status,Status Reason,Subject,Modified On Year,Modified On Month,Modified On Day,Modified On Hour,Modified On Minute,Modified On Second,Created On Year,Created On Month,Created On Day,Created On Hour,Created On Minute,Created On Second,Follow Up By Year,Follow Up By Month,Follow Up By Day,Follow Up By Hour,Follow Up By Minute,Follow Up By Second
Poids des vélos de tourisme,Ticket9,,,,,,,,,First name Last name,Détaillants pour vélos LMN,,A demandé une liste des poids à vide de tous nos vélos de tourisme.,,First name Last name,1/24/2008,Roger Van Houten,2,,,1,,,,Résolu,5,Vélos de route,,,,,,,,,,,,,0,1,5,12,0,0
Fonctionnement incorrect du système de vitesses,CAS-01007-ZY53LC,,,,1,,2,,,First name Last name,Centre de remise en forme ABC,,,,First name Last name,1/20/2008,Ben Burton,1,"VTT-500 Noir, 40",,5,,1,,Actif,1,Réparations et réglages,,,,,,,,,,,,,0,1,5,12,0,0
Vélo endommagé - cadre fissuré,Ticket8,,,,,,,,,First name Last name,Détaillants pour vélos LMN,,Le client a retourné un vélo récemment acheté - le magasin pense qu'il est endommagé. Le cadre présente une fissure. Le vélo va être renvoyé et passé au contrôle qualité pour vérification.,,First name Last name,1/24/2008,Roger Van Houten,2,,,4,,,,Résolu,5,Vélos de tourisme,,,,,,,,,,,,,1,10,10,12,0,0
Axe principal trop étroit 2,CAS-01034-BF78XA,,,,2,,2,,,First name Last name,Professionnels de la remise en forme LMN,,,,First name Last name,1/5/2008,Judith Walker,3,"Tourisme-1000 Jaune, 54",,4,,3,,Actif,1,Réparations et réglages,,,,,,,,,,,,,1,11,21,12,0,0
Délai moyen de livraison d'une commande,Ticket13,,,,,,,,,First name Last name,Magasin de remise en forme XYZ,,Le client souhaite savoir le délai de livraison d'une commande à son magasin.,,First name Last name,1/24/2008,Roger Van Houten,2,,,4,,,,Résolu,5,Marketing et ventes,,,,,,,,,,,,,0,1,5,12,0,0
Contrat de service à renouveler pour l'année prochaine,CAS-01025-LX1I4K,,,,1,,3,,,First name Last name,Location de cycles XYZ,,,,First name Last name,1/15/2008,Chris Perry,2,"Route-450 Rouge, 60",,4,,1,,Actif,1,Mises à niveau,,,,,,,,,,,,,0,1,5,12,0,0
Le jeu de pédalier fait du bruit,CAS-01004-N06GOP,,,,1,,2,,,First name Last name,Centre de sport ABC,,,,First name Last name,1/24/2008,Ben Burton,3,,,1,,1,,Résolu,5,Réparations et réglages,,,,,,,,,,,,,1,11,11,12,0,0
Dysfonctionnement du système de poulies principal,CAS-01032-PFHYN0,,,,2,,2,,,First name Last name,Professionnels de la remise en forme LMN,,,,First name Last name,1/5/2008,Judith Walker,2,"Tourisme-1000 Jaune, 54",,2,,2,,Actif,1,Réparations et réglages,,,,,,,,,,,,,0,1,5,12,0,0
Axe principal trop étroit,CAS-01002-23WNJT,,,,3,,2,,,First name Last name,Professionnels de la compétition LMN,,,,First name Last name,1/24/2008,Ben Burton,2,,,4,,3,,Résolu,5,Réparations et réglages,,,,,,,,,,,,,0,0,8,12,0,0
Jeu de pédalier problématique,CAS-01017-Q6NJMU,,,,3,,2,,,First name Last name,Fournitures de compétition XYZ,,,,First name Last name,1/24/2008,Chris Perry,3,,,4,,2,,Actif,1,Réparations et réglages,,,,,,,,,,,,,0,1,5,12,0,0
Braquet supérieur manquant lors de la livraison,CAS-01009-H566KA,,,,1,,3,,,First name Last name,Centre de remise en forme ABC,,,,First name Last name,1/20/2008,Ben Burton,1,"VTT-500 Noir, 40",,2,,1,,Actif,1,Pièces détachées,,,,,,,,,,,,,0,1,5,12,0,0
Les dérailleurs et le système de suspension ont des problèmes,CAS-01027-19U1M0,,,,1,,2,,,First name Last name,Professionnels de la compétition ABC,,,,First name Last name,1/24/2008,Mathew Pereira,1,,,3,,1,,Résolu,5,Réparations et réglages,,,,,,,,,,,,,,,,,,
Tailles des cadres sur les modèles pour femme,Ticket10,,,,,,,,,First name Last name,Détaillants pour vélos LMN,,Quelles sont les tailles des cadres disponibles dans les modèles pour femme ?,,First name Last name,1/24/2008,Roger Van Houten,2,,,1,,,,Résolu,5,Vélos de route,,,,,,,,,,,,,,,,,,
Poignée de frein endommagée 5,CAS-01033-QXYNI1,,,,3,,2,,,First name Last name,Professionnels de la remise en forme LMN,,,,First name Last name,1/5/2008,Judith Walker,2,"Tourisme-1000 Jaune, 54",,3,,1,,Actif,1,Réparations et réglages,,,,,,,,,,,,,,,,,,
Renouvellement du contrat de service pour l'année prochaine,CAS-01022-MIL74U,,,,2,,3,,,First name Last name,Équipements pour VTT ABC,,,,First name Last name,1/15/2008,Chris Perry,2,"Route-450 Rouge, 60",,4,,2,,Actif,1,Mises à niveau,,,,,,,,,,,,,,,,,,
Poignée de frein endommagée,CAS-01024-SG0625,,,,2,,2,,,First name Last name,Équipements de sport LMN,,,,First name Last name,1/24/2008,Chris Perry,2,,,3,,3,,Actif,1,Réparations et réglages,,,,,,,,,,,,,,,,,,
Taille du jeu de pédalier du Tourisme-1000 2001,Ticket21,,,,,,,,,First name Last name,Équipements de remise en forme LMN,,Quelle est la taille du jeu de pédalier dont j'ai besoin pour le Tourisme-1000 2001 d'un client ?,,First name Last name,1/24/2008,Roger Van Houten,2,,,4,,,,Résolu,5,Vélos de tourisme,0,0,-2,1,1,1,0,0,-3,1,1,1,,,,,,
Comment puis-je recevoir un catalogue des produits ?,Ticket15,,,,,,,,,First name Last name,Entreprise de remise en forme ABC,,Les catalogues de produits sont disponibles en ligne.,,First name Last name,1/24/2008,Roger Van Houten,2,,,4,,,,Résolu,5,Marketing et ventes,0,0,-2,1,1,1,0,0,-3,1,1,1,,,,,,
Qui a remporté le Tour l'année dernière ?,Ticket16,,,,,,,,,First name Last name,Entreprise de remise en forme ABC,,Rechercher le classement des coureurs du tour d'Amérique cycliste l'année dernière.,,First name Last name,1/24/2008,Roger Van Houten,2,,,4,,,,Résolu,5,Informations générales - Société,0,0,-2,1,1,1,0,0,-3,1,1,1,,,,,,
Déterminer l'année d'un ancien vélo,Ticket2,,,,,,,,,First name Last name,Détaillants pour vélos LMN,,Lui ai demandé le numéro de série et ai recherché l'année du vélo pour lui.,,First name Last name,1/24/2008,Roger Van Houten,2,,,1,,,,Résolu,5,Vélos,0,0,-2,1,1,1,0,0,-3,1,1,1,,,,,,
Système de freinage et manivelles incorrects,CAS-01026-TWOLHK,,,,1,,2,,,First name Last name,Magasin de cycles ABC,,,,First name Last name,1/24/2008,Mathew Pereira,2,,,1,,3,,Résolu,5,Réparations et réglages,0,0,-2,1,1,1,0,0,-3,1,1,1,,,,,,
Entretien du frein à disque requis,CAS-01029-HS666A,,,,3,,3,,,First name Last name,Équipements pour VTT XYZ,,,,First name Last name,1/9/2008,Mathew Pereira,3,"Tourisme-3000 Bleu, 50",,3,,2,,Actif,1,Réparations et réglages,0,0,-27,1,1,1,0,0,-28,1,1,1,,,,,,
Poids des pneus ?,Ticket22,,,,,,,,,First name Last name,Équipements de remise en forme LMN,,Indiquez-moi le poids des pneus route HL et LL et leur différence,,First name Last name,1/24/2008,Roger Van Houten,2,,,4,,,,Résolu,5,Vélos de route,0,0,-27,1,1,1,0,0,-28,1,1,1,,,,,,
Poids des vélos pour comparer les vélos de route,Ticket11,,,,,,,,,First name Last name,Fournitures de sport XYZ,,Souhaite connaître le poids de tous nos modèles de vélos de route pour les comparer,,First name Last name,1/24/2008,Roger Van Houten,2,,,4,,,,Résolu,5,Vélos de route,0,0,-27,1,1,1,0,0,-28,1,1,1,,,,,,
Plaquettes de frein à disque usées,CAS-01028-FTOPH1,,,,2,,2,,,First name Last name,Accessoires de loisirs LMN,,,,First name Last name,1/24/2008,Mathew Pereira,3,,,3,,1,,Résolu,5,Réparations et réglages,,,,,,,,,,,,,,,,,,
Prix au détail d'un Route-350-W,Ticket24,,,,,,,,,First name Last name,Entreprise du sport ABC,,Publiez-vous une gamme de prix au détail conseillée pour le Route-350 ?,,First name Last name,1/24/2008,Roger Van Houten,2,,,4,,,,Résolu,5,Vélos de route,0,0,-27,1,1,1,0,0,-28,1,1,1,,,,,,
