Subject,Activity Type,Activity Status,Priority,Last Updated,Actual Duration,Actual End,Actual Start,Created By,Date Created,Description,Due Date,Duration,Modified By,Propriétaire,Regarding,Start Date,Due Date year,Due Date month,Due Date day,Due Date hour,Due Date min,Due Date second,Start Date year,Start Date month,Start Date day,Start Date hour,Start Date min,Start Date second
Pain admitted by sponsor,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Define and capture critical business issue for contact and organization. Requires access to Reference Stories and Pain Sheets in the Sales Library.,,,First name Last name,Jose Curry,Réponse avec Christiane  concernant les VTT,,0,-1,1,12,0,0,0,-1,1,12,0,0
Sponsor has a buying vision,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Diagnose and create a vision of a company-biased solution. Requires access to Reference Stories and pain Sheets in the Sales Library.,,,First name Last name,Jose Curry,Réponse avec Christiane  concernant les VTT,,0,-1,11,12,0,0,0,-1,11,12,0,0
Sponsor agrees to explore,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Sponsor agrees to conduct internal selling within the organization,,,First name Last name,Jose Curry,Réponse avec Christiane  concernant les VTT,,0,-1,15,12,0,0,0,-1,15,12,0,0
Access to power negotiated,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Sponsor conditionally agrees to provide access to power. Capture preliminary power information.,,,First name Last name,Jose Curry,Réponse avec Christiane  concernant les VTT,,0,-1,29,12,0,0,0,-1,29,12,0,0
Agree to above in Sponsor letter,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,"Document critical business issue, buying vision and access to power in a letter or e-mail. Generate letter or e-mail using Potential Sponsor template.",,,First name Last name,Jose Curry,Réponse avec Christiane  concernant les VTT,,0,-1,23,12,0,0,0,-1,23,12,0,0
Pain admitted by sponsor,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Define and capture critical business issue for contact and organization. Requires access to Reference Stories and Pain Sheets in the Sales Library.,,,First name Last name,Jose Curry,Susceptible de passer du vélo cross au VTT.,,0,2,0,12,0,0,0,2,0,12,0,0
Sponsor has a buying vision,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Diagnose and create a vision of a company-biased solution. Requires access to Reference Stories and pain Sheets in the Sales Library.,,,First name Last name,Jose Curry,Susceptible de passer du vélo cross au VTT.,,0,2,5,12,0,0,0,2,5,12,0,0
Sponsor agrees to explore,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Sponsor agrees to conduct internal selling within the organization,,,First name Last name,Jose Curry,Susceptible de passer du vélo cross au VTT.,,0,2,0,12,0,0,0,2,0,12,0,0
Access to power negotiated,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Sponsor conditionally agrees to provide access to power. Capture preliminary power information.,,,First name Last name,Jose Curry,Susceptible de passer du vélo cross au VTT.,,0,2,0,12,0,0,0,2,0,12,0,0
Agree to above in Sponsor letter,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,"Document critical business issue, buying vision and access to power in a letter or e-mail. Generate letter or e-mail using Potential Sponsor template.",,,First name Last name,Jose Curry,Susceptible de passer du vélo cross au VTT.,,0,2,4,12,0,0,0,2,4,12,0,0
Pain admitted by sponsor,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Define and capture critical business issue for contact and organization. Requires access to Reference Stories and Pain Sheets in the Sales Library.,,,First name Last name,Gail Erickson,Intéressé par des VTT ; 47 des nouveaux modèles VTT-400 et VTT-400-W.,,0,1,12,12,0,0,0,1,12,12,0,0
Sponsor has a buying vision,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Diagnose and create a vision of a company-biased solution. Requires access to Reference Stories and pain Sheets in the Sales Library.,,,First name Last name,Gail Erickson,Intéressé par des VTT ; 47 des nouveaux modèles VTT-400 et VTT-400-W.,,0,1,11,12,0,0,0,1,11,12,0,0
Sponsor agrees to explore,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Sponsor agrees to conduct internal selling within the organization,,,First name Last name,Gail Erickson,Intéressé par des VTT ; 47 des nouveaux modèles VTT-400 et VTT-400-W.,,0,4,9,12,0,0,0,4,9,12,0,0
Access to power negotiated,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Sponsor conditionally agrees to provide access to power. Capture preliminary power information.,,,First name Last name,Gail Erickson,Intéressé par des VTT ; 47 des nouveaux modèles VTT-400 et VTT-400-W.,,0,11,21,12,0,0,0,11,21,12,0,0
Agree to above in Sponsor letter,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,"Document critical business issue, buying vision and access to power in a letter or e-mail. Generate letter or e-mail using Potential Sponsor template.",,,First name Last name,Gail Erickson,Intéressé par des VTT ; 47 des nouveaux modèles VTT-400 et VTT-400-W.,,0,11,20,12,0,0,0,11,20,12,0,0
Pain admitted by sponsor,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Define and capture critical business issue for contact and organization. Requires access to Reference Stories and Pain Sheets in the Sales Library.,,,First name Last name,Gail Erickson,Intéressé par des VTT ; 45 du nouveau modèle.,,0,9,26,12,0,0,0,9,26,12,0,0
Sponsor has a buying vision,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Diagnose and create a vision of a company-biased solution. Requires access to Reference Stories and pain Sheets in the Sales Library.,,,First name Last name,Gail Erickson,Intéressé par des VTT ; 45 du nouveau modèle.,,0,8,26,12,0,0,0,8,26,12,0,0
Sponsor agrees to explore,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Sponsor agrees to conduct internal selling within the organization,,,First name Last name,Gail Erickson,Intéressé par des VTT ; 45 du nouveau modèle.,,0,-2,14,12,0,0,0,-2,14,12,0,0
Access to power negotiated,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Sponsor conditionally agrees to provide access to power. Capture preliminary power information.,,,First name Last name,Gail Erickson,Intéressé par des VTT ; 45 du nouveau modèle.,,0,-1,1,12,0,0,0,-1,1,12,0,0
Agree to above in Sponsor letter,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,"Document critical business issue, buying vision and access to power in a letter or e-mail. Generate letter or e-mail using Potential Sponsor template.",,,First name Last name,Gail Erickson,Intéressé par des VTT ; 45 du nouveau modèle.,,0,-1,1,12,0,0,0,-1,1,12,0,0
Pain admitted by sponsor,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Define and capture critical business issue for contact and organization. Requires access to Reference Stories and Pain Sheets in the Sales Library.,,,First name Last name,Alan Jackson,Semble bien parti pour 50 vélos de tourisme ; ils veulent nos casquettes en cadeau publicitaire.,,0,-2,1,12,0,0,0,-2,1,12,0,0
Sponsor has a buying vision,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Diagnose and create a vision of a company-biased solution. Requires access to Reference Stories and pain Sheets in the Sales Library.,,,First name Last name,Alan Jackson,Semble bien parti pour 50 vélos de tourisme ; ils veulent nos casquettes en cadeau publicitaire.,,0,-1,3,12,0,0,0,-1,3,12,0,0
Sponsor agrees to explore,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Sponsor agrees to conduct internal selling within the organization,,,First name Last name,Alan Jackson,Semble bien parti pour 50 vélos de tourisme ; ils veulent nos casquettes en cadeau publicitaire.,,0,-1,1,12,0,0,0,-1,1,12,0,0
Access to power negotiated,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Sponsor conditionally agrees to provide access to power. Capture preliminary power information.,,,First name Last name,Alan Jackson,Semble bien parti pour 50 vélos de tourisme ; ils veulent nos casquettes en cadeau publicitaire.,,0,-1,14,12,0,0,0,-1,14,12,0,0
Agree to above in Sponsor letter,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,"Document critical business issue, buying vision and access to power in a letter or e-mail. Generate letter or e-mail using Potential Sponsor template.",,,First name Last name,Alan Jackson,Semble bien parti pour 50 vélos de tourisme ; ils veulent nos casquettes en cadeau publicitaire.,,0,-1,17,12,0,0,0,-1,17,12,0,0
Pain admitted by sponsor,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Define and capture critical business issue for contact and organization. Requires access to Reference Stories and Pain Sheets in the Sales Library.,,,First name Last name,Alan Jackson,Commande de 10 vélos - probablement de route et de tourisme.,,0,-3,9,12,0,0,0,-3,9,12,0,0
Sponsor has a buying vision,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Diagnose and create a vision of a company-biased solution. Requires access to Reference Stories and pain Sheets in the Sales Library.,,,First name Last name,Alan Jackson,Commande de 10 vélos - probablement de route et de tourisme.,,0,-1,17,12,0,0,0,-1,17,12,0,0
Sponsor agrees to explore,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Sponsor agrees to conduct internal selling within the organization,,,First name Last name,Alan Jackson,Commande de 10 vélos - probablement de route et de tourisme.,,0,-1,1,12,0,0,0,-1,1,12,0,0
Access to power negotiated,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Sponsor conditionally agrees to provide access to power. Capture preliminary power information.,,,First name Last name,Alan Jackson,Commande de 10 vélos - probablement de route et de tourisme.,,0,-1,3,12,0,0,0,-1,3,12,0,0
Agree to above in Sponsor letter,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,"Document critical business issue, buying vision and access to power in a letter or e-mail. Generate letter or e-mail using Potential Sponsor template.",,,First name Last name,Alan Jackson,Commande de 10 vélos - probablement de route et de tourisme.,,0,-2,7,12,0,0,0,-2,7,12,0,0
Pain admitted by sponsor,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Define and capture critical business issue for contact and organization. Requires access to Reference Stories and Pain Sheets in the Sales Library.,,,First name Last name,Alan Jackson,"Commandera bientôt des chaussettes, des maillots cycliste et des gants. Aime le modèle Tourisme-2000",,0,-2,1,12,0,0,0,-2,1,12,0,0
Sponsor has a buying vision,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Diagnose and create a vision of a company-biased solution. Requires access to Reference Stories and pain Sheets in the Sales Library.,,,First name Last name,Alan Jackson,"Commandera bientôt des chaussettes, des maillots cycliste et des gants. Aime le modèle Tourisme-2000",,0,5,22,12,0,0,0,5,22,12,0,0
Sponsor agrees to explore,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Sponsor agrees to conduct internal selling within the organization,,,First name Last name,Alan Jackson,"Commandera bientôt des chaussettes, des maillots cycliste et des gants. Aime le modèle Tourisme-2000",,0,2,0,12,0,0,0,2,0,12,0,0
Access to power negotiated,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Sponsor conditionally agrees to provide access to power. Capture preliminary power information.,,,First name Last name,Alan Jackson,"Commandera bientôt des chaussettes, des maillots cycliste et des gants. Aime le modèle Tourisme-2000",,0,2,14,12,0,0,0,2,14,12,0,0
Agree to above in Sponsor letter,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,"Document critical business issue, buying vision and access to power in a letter or e-mail. Generate letter or e-mail using Potential Sponsor template.",,,First name Last name,Alan Jackson,"Commandera bientôt des chaussettes, des maillots cycliste et des gants. Aime le modèle Tourisme-2000",,-1,-1,4,12,0,0,-1,-1,4,12,0,0
Pain admitted by sponsor,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Define and capture critical business issue for contact and organization. Requires access to Reference Stories and Pain Sheets in the Sales Library.,,,First name Last name,Alan Jackson,Commandera très certainement 73 vélos de route cette année.,,0,3,1,12,0,0,0,3,1,12,0,0
Sponsor has a buying vision,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Diagnose and create a vision of a company-biased solution. Requires access to Reference Stories and pain Sheets in the Sales Library.,,,First name Last name,Alan Jackson,Commandera très certainement 73 vélos de route cette année.,,0,-1,1,12,0,0,0,-1,1,12,0,0
Sponsor agrees to explore,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Sponsor agrees to conduct internal selling within the organization,,,First name Last name,Alan Jackson,Commandera très certainement 73 vélos de route cette année.,,0,-1,1,12,0,0,0,-1,1,12,0,0
Access to power negotiated,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Sponsor conditionally agrees to provide access to power. Capture preliminary power information.,,,First name Last name,Alan Jackson,Commandera très certainement 73 vélos de route cette année.,,0,0,-20,12,0,0,0,0,-20,12,0,0
Access to Power Sponsor,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,"Talk to the power sponsor, capture contact information and relationship to sponsor.",,,First name Last name,Jose Curry,Susceptible de passer du vélo cross au VTT.,,0,-1,8,12,0,0,0,-1,8,12,0,0
Agree to above in Sponsor letter,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,"Document critical business issue, buying vision and access to power in a letter or e-mail. Generate letter or e-mail using Potential Sponsor template.",,,First name Last name,Alan Jackson,Commandera très certainement 73 vélos de route cette année.,,0,-2,11,12,0,0,0,-2,11,12,0,0
Contract negotiation in process,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Agree to final terms of contract.,,,First name Last name,Jose Curry,Intéressé par des VTT ; 14 du nouveau modèle.,,0,-3,11,12,0,0,0,-3,11,12,0,0
Signed documents,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,"Get final signed documents and PO, attach contract to Opportunity.",,,First name Last name,Jose Curry,Réponse avec Christiane  concernant les VTT,,0,-1,4,12,0,0,0,-1,4,12,0,0
Evaluation plan underway,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,"Execute steps in Evaluation Plan and manage go/no go steps. Make sure all legal, technical, and accounting hurdles have been approved. Prepare Value Justification and Success criteria, Generate letter or e-mail using Go/No Go"" Completion Step template.""",,,First name Last name,Jose Curry,69 vélos de tourisme d'entrée de gamme - À suivre,,0,-1,4,12,0,0,0,-1,4,12,0,0
Contract negotiation in process,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Agree to final terms of contract.,,,First name Last name,Jose Curry,"Va développer sa gamme d'accessoires pour inclure des bouteilles d'eau, des casquettes ainsi que des systèmes d'éclairage et antivol.",,0,-1,8,12,0,0,0,-1,8,12,0,0
Pain admitted by Power Sponsor,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Define Power Sponsor critical business issue. Requires access to Reference Stories and pain Sheets in the Sales Library.,,,First name Last name,Jose Curry,Susceptible de passer du vélo cross au VTT.,,0,-1,12,12,0,0,0,-1,12,12,0,0
Pre-proposal review conducted,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,"Review proposal draft content with key power players on buying committee, capture attendee list.",,,First name Last name,Jose Curry,69 vélos de tourisme d'entrée de gamme - À suivre,,0,-1,24,12,0,0,0,-1,24,12,0,0
Power Sponsor has a buying vision,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Diagnose and create a vision of a company-biased solution. Requires access to Reference Stories and pain Sheets in the Sales Library.,,,First name Last name,Jose Curry,Susceptible de passer du vélo cross au VTT.,,0,-1,14,10,0,0,0,-1,14,10,0,0
Asked for business,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,"Identify and capture remaining issues, if any.",,,First name Last name,Jose Curry,69 vélos de tourisme d'entrée de gamme - À suivre,,0,2,5,12,0,0,0,2,5,12,0,0
Power Sponsor agrees to explore,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Power Sponsor agrees to continue dialog on your solution.,,,First name Last name,Jose Curry,Susceptible de passer du vélo cross au VTT.,,0,2,0,12,0,0,0,2,0,12,0,0
Evaluation plan underway,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,"Execute steps in Evaluation Plan and manage go/no go steps. Make sure all legal, technical, and accounting hurdles have been approved. Prepare Value Justification and Success criteria, Generate letter or e-mail using Go/No Go"" Completion Step template.""",,,First name Last name,Gail Erickson,Intéressé par des VTT ; 47 des nouveaux modèles VTT-400 et VTT-400-W.,,0,2,4,12,0,0,0,2,4,12,0,0
"Proposal Issue, Decision Due",task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Provide proposal and attach to Opportunity.,,,First name Last name,Jose Curry,69 vélos de tourisme d'entrée de gamme - À suivre,,0,1,12,12,0,0,0,1,12,12,0,0
Signed documents,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,"Get final signed documents and PO, attach contract to Opportunity.",,,First name Last name,Gail Erickson,Intéressé par des VTT ; 45 du nouveau modèle.,,0,1,11,12,0,0,0,1,11,12,0,0
Evaluation Plan proposed,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Document steps that will lead to a buying decision based on customer requirements. Generate letter or e-mail using Potential Power Sponsor template.,,,First name Last name,Jose Curry,Susceptible de passer du vélo cross au VTT.,,0,4,9,12,0,0,0,4,9,12,0,0
Access to Power Sponsor,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,"Talk to the power sponsor, capture contact information and relationship to sponsor.",,,First name Last name,Alan Jackson,Semble bien parti pour 50 vélos de tourisme ; ils veulent nos casquettes en cadeau publicitaire.,,0,-1,3,12,0,0,0,-1,3,12,0,0
Pre-proposal review conducted,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,"Review proposal draft content with key power players on buying committee, capture attendee list.",,,First name Last name,Gail Erickson,Intéressé par des VTT ; 47 des nouveaux modèles VTT-400 et VTT-400-W.,,0,-2,7,12,0,0,0,-2,7,12,0,0
Verbal approval received,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Verbal approval received.,,,First name Last name,Jose Curry,69 vélos de tourisme d'entrée de gamme - À suivre,,0,-2,1,12,0,0,0,-2,1,12,0,0
Evaluation Plan agreed upon,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,"Confirm that Power Sponsor agrees to the steps that will lead to a buying decision. Attach revised Evaluation Plan to opportunity, create activities that match up to the Evaluation Plan.",,,First name Last name,Jose Curry,Susceptible de passer du vélo cross au VTT.,,0,-1,6,12,0,0,0,-1,6,12,0,0
Pain admitted by Power Sponsor,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Define Power Sponsor critical business issue. Requires access to Reference Stories and pain Sheets in the Sales Library.,,,First name Last name,Alan Jackson,Semble bien parti pour 50 vélos de tourisme ; ils veulent nos casquettes en cadeau publicitaire.,,0,-1,15,12,0,0,0,-1,15,12,0,0
Asked for business,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,"Identify and capture remaining issues, if any.",,,First name Last name,Gail Erickson,Intéressé par des VTT ; 47 des nouveaux modèles VTT-400 et VTT-400-W.,,0,-2,6,12,0,0,0,-2,6,12,0,0
Power Sponsor has a buying vision,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Diagnose and create a vision of a company-biased solution. Requires access to Reference Stories and pain Sheets in the Sales Library.,,,First name Last name,Alan Jackson,Semble bien parti pour 50 vélos de tourisme ; ils veulent nos casquettes en cadeau publicitaire.,,0,-1,4,7,0,0,0,-1,4,7,0,0
"Proposal Issue, Decision Due",task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Provide proposal and attach to Opportunity.,,,First name Last name,Gail Erickson,Intéressé par des VTT ; 47 des nouveaux modèles VTT-400 et VTT-400-W.,,0,-2,-24,12,0,0,0,-2,-24,12,0,0
Power Sponsor agrees to explore,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Power Sponsor agrees to continue dialog on your solution.,,,First name Last name,Alan Jackson,Semble bien parti pour 50 vélos de tourisme ; ils veulent nos casquettes en cadeau publicitaire.,,0,1,-10,12,0,0,0,1,-10,12,0,0
Signed documents,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,"Get final signed documents and PO, attach contract to Opportunity.",,,First name Last name,Alan Jackson,Commande de 10 vélos - probablement de route et de tourisme.,,0,-2,6,12,0,0,0,-2,6,12,0,0
Verbal approval received,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Verbal approval received.,,,First name Last name,Gail Erickson,Intéressé par des VTT ; 47 des nouveaux modèles VTT-400 et VTT-400-W.,,-1,6,30,12,0,0,-1,6,30,12,0,0
Evaluation Plan proposed,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Document steps that will lead to a buying decision based on customer requirements. Generate letter or e-mail using Potential Power Sponsor template.,,,First name Last name,Alan Jackson,Semble bien parti pour 50 vélos de tourisme ; ils veulent nos casquettes en cadeau publicitaire.,,0,-1,30,12,0,0,0,-1,30,12,0,0
Evaluation Plan agreed upon,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,"Confirm that Power Sponsor agrees to the steps that will lead to a buying decision. Attach revised Evaluation Plan to opportunity, create activities that match up to the Evaluation Plan.",,,First name Last name,Alan Jackson,Semble bien parti pour 50 vélos de tourisme ; ils veulent nos casquettes en cadeau publicitaire.,,0,-2,25,12,0,0,0,-2,25,12,0,0
Evaluation plan underway,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,"Execute steps in Evaluation Plan and manage go/no go steps. Make sure all legal, technical, and accounting hurdles have been approved. Prepare Value Justification and Success criteria, Generate letter or e-mail using Go/No Go"" Completion Step template.""",,,First name Last name,Alan Jackson,Commandera très certainement 73 vélos de route cette année.,,0,1,-8,12,0,0,0,1,-8,12,0,0
Pre-proposal review conducted,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,"Review proposal draft content with key power players on buying committee, capture attendee list.",,,First name Last name,Alan Jackson,Commandera très certainement 73 vélos de route cette année.,,0,-2,15,12,0,0,0,-2,15,12,0,0
Asked for business,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,"Identify and capture remaining issues, if any.",,,First name Last name,Alan Jackson,Commandera très certainement 73 vélos de route cette année.,,0,-2,12,12,0,0,0,-2,12,12,0,0
"Proposal Issue, Decision Due",task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Provide proposal and attach to Opportunity.,,,First name Last name,Alan Jackson,Commandera très certainement 73 vélos de route cette année.,,0,-4,10,12,0,0,0,-4,10,12,0,0
Verbal approval received,task,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Verbal approval received.,,,First name Last name,Alan Jackson,Commandera très certainement 73 vélos de route cette année.,,0,-3,1,12,0,0,0,-3,1,12,0,0
Consulter la documentation commerciale pour connaître les derniers tarifs,task,5,Normale,1/24/2008,,,,First name Last name,1/24/2008,"Route 350, tous les modèles",,,First name Last name,Roger Van Houten,,,0,3,0,12,0,0,0,3,0,12,0,0
Aller à l'usine - obtenir de nouvelles pédales clipless,task,2,Faible,1/24/2008,,,,First name Last name,1/24/2008,Certaines pièces sont légèrement endommagées,,,First name Last name,Roger Van Houten,,,0,3,1,12,0,0,0,3,1,12,0,0
Intéressé par 45 VTT,task,5,Haute,1/24/2008,,,,First name Last name,1/24/2008,Intéressé par 45 VTT,,,First name Last name,Gail Erickson,Ivo Haemels,,0,-2,1,12,0,0,0,-2,1,12,0,0
