Full Name,Business Phone,Address 1: Address Type,Address 1: City,Address 1: Country/Region,Address 1: County,Address 1: Fax,Address 1: Freight Terms,Address 1: Latitude,Address 1: Longitude,Address 1: Name,Address 1: Phone,Address 1: Post Office Box,Address 1: Primary Contact Name,Address 1: Shipping Method,Address 1: State/Province,Address 1: Street 1,Address 1: Street 2,Address 1: Street 3,Address 1: Telephone 2,Address 1: Telephone 3,Address 1: UPS Zone,Address 1: UTC Offset,Address 1: ZIP/Postal Code,Address 2: Address Type,Address 2: City,Address 2: Country/Region,Address 2: County,Address 2: Fax,Address 2: Freight Terms,Address 2: Latitude,Address 2: Longitude,Address 2: Name,Address 2: Post Office Box,Address 2: Primary Contact Name,Address 2: Shipping Method,Address 2: State/Province,Address 2: Street 1,Address 2: Street 2,Address 2: Street 3,Address 2: Telephone 1,Address 2: Telephone 2,Address 2: Telephone 3,Address 2: UPS Zone,Address 2: UTC Offset,Address 2: ZIP/Postal Code,Aging 30,Aging 60,Aging 90,Anniversary,Annual Income,Assistant,Assistant Phone,Backoffice Customer,Birthday,Childrens Names,Created By,Created On,Credit Hold,Credit Limit,Customer Size,Department,Description,Do not allow Bulk E-mails,Do not allow Bulk Mails,Do not allow E-mails,Do not allow Faxes,Do not allow Mails,Do not allow Phone Calls,Education,E-mail,E-mail Address 2,E-mail Address 3,Employee,Fax,First Name,FTP Site,Gender,Government,Has Children,Home Phone,Job Title,Last Date Included in Campaign,Last Name,Lead Source,Manager,Manager Phone,Marital Status,Middle Name,Mobile Phone,Modified By,Modified On,Nickname,No. of Children,Originating Lead,Propriétaire,Pager,Parent Customer,Payment Terms,Preferred Day,Preferred Facility/Equipment,Preferred Method of Contact,Preferred Service,Preferred Time,Preferred User,Price List,Relationship Type,Role,Salutation,Send Marketing Materials,Shipping Method,Spouse Name,Status,Status Reason,Suffix,Telephone 3,Territory,Web Site,Yomi First Name,Yomi Full Name,Yomi Last Name,Yomi Middle Name
Antoine Faisandiers,123 4567,,Dijon,France,,,,,,,,,,,Bourgogne,344, impasse du Jeudi,,,,,,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Guido,,,,,,Propriétaire,,Chuffart,,,,,,,First name Last name,1/24/2008,,,,Gail Erickson,,Professionnels des loisirs LMN,,,,,,,,,,,,0,,,Actif,1,,,,,,,,
Catherine Autier,123 4567,,Paris,France,,,,,,,,,,,Île-de-France,225, boulevard du Mardi,,,,,,75010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Catherine,,,,,,Responsable administratif,,Autier,,,,,,,First name Last name,1/24/2008,,,,Gail Erickson,,Fournitures de loisirs ABC,,,,,,,,,,,,0,,,Actif,1,,,,,,,,
Michael Lange,123 4567,,Ajaccio,France,,,,,,,,,,,Corse,778, rue du Samedi,,,,,,20090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Michael,,,,,,Responsable administratif,,Lange,,,,,,,First name Last name,1/24/2008,,,,Gail Erickson,,Entreprise de performances ABC,,,,,,,,,,,,0,,,Actif,1,,,,,,,,
Torsten Arndt,123 4567,,Nantes,France,,,,,,,,,,,Pays-de-la Loire,112, boulevard du Jeudi,,,,,,44100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Torsten,,,,,,Responsable des assistants,,Arndt,,,,,,,First name Last name,1/24/2008,,,,Jose Curry,,Accessoires de remise en forme XYZ,,,,2,,,,,,,,0,,,Actif,1,,,Valeur par défaut,,,,,
Antoine Faisandier,123 4567,,Amiens,France,,,,,,,,,,,Picardie,223, avenue du Lundi,,,,,,80080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Antoine,,,,,,Assistant aux achats,,Faisandier,,,,,,,First name Last name,1/24/2008,,,,Jose Curry,,Entreprise de remise en forme ABC,,,,,,,,,,,,0,,,Actif,1,,,,,,,,
Andreas Hauser,123 4567,,Reims,France,,,,,,,,,,,Champagne - Ardenne,445, rue du Mardi,,,,,,51100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Andreas,,,,,,Propriétaire,,Hauser,,,,,,,First name Last name,1/24/2008,,,,Jose Curry,,Détaillants pour vélos XYZ,,,,2,,,,,,,,0,,,Actif,1,,,Valeur par défaut,,,,,
Olivier Renaud,123 4567,,Strasbourg,France,,,,,,,,,,,Alsace,123, rue du Mercredi,,,,,,67100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Olivier,,,,,,Assistant aux achats,,Renaud,,,,,,,First name Last name,1/24/2008,,,,Gail Erickson,,Entreprise de compétition XYZ,,,,,,,,,,,,0,,,Actif,1,,,,,,,,
Markus Zulechner,123 4567,,Le Havre,France,,,,,,,,,,,Haute-Normandie,223, impasse du Samedi,,,,,,76620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,1,0,0,0,,someone@example.com,,,,,Markus,,,,,,Propriétaire,,Zulechner,,,,,,,First name Last name,1/24/2008,,,,Alan Jackson,,Équipements de loisirs XYZ,,,,2,,,,,,,,0,,,Actif,1,,,,,,,,
Pascaline Overeem,123 4567,,Besançon,France,,,,,,,,,,,Franche-Comté,344, boulevard du Mercredi,,,,,,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Pascaline,,,,,,Propriétaire,,Overeem,,,,,,,First name Last name,1/24/2008,,,,Gail Erickson,,,,,,,,,,,,,,0,,,Actif,1,,,,,,,,
Walter Weinfurter,123 4567,,Montpellier,France,,,,,,,,,,,Languedoc - Roussillon,445, rue du Dimanche,,,,,,34070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Walter,,,,,,Assistant aux achats,,Weinfurter,,,,,,,First name Last name,1/24/2008,,,,Gail Erickson,,,,,,,,,,,,,,0,,,Actif,1,,,,,,,,
Luisa Cazzaniga,123 4567,,Limoges,France,,,,,,,,,,,Limousin,113, avenue du Lundi,,,,,,87100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Luisa,,,,,,Responsable administratif,,Cazzaniga,,,,,,,First name Last name,1/24/2008,,,,Jose Curry,,Centre de remise en forme ABC,,,,2,,,,,,,,0,,,Actif,1,,,Valeur par défaut,,,,,
Emmanuel Dubucc,123 4567,,Poitiers,France,,,,,,,,,,,Poitou - Charentes,223, avenue du Vendredi,,,,,,86000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,1,0,0,,someone@example.com,,,,,Emmanuel,,,,,,Assistant aux achats,,Dubuc,,,,,,,First name Last name,1/24/2008,,,,Jose Curry,,Entreprise de vélos LMN,,,,,,,,,,,,0,,,Actif,1,,,,,,,,
Allan Guinot,123 4567,,Dijon,France,,,,,,,,,,,Bourgogne,225, impasse du Samedi,,,,,,21001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Allan,,,,,,Assistant aux achats,,Guinot,,,,,,,First name Last name,1/24/2008,,,,Jose Curry,,Fournitures pour remise en forme ABC,,,,,,,,,,,,0,,,Actif,1,,,,,,,,
Adam Kodeda,123 4567,,Clermont-Ferrand,France,,,,,,,,,,,Auvergne,556, boulevard du Samedi,,,,,,63100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Adam,,,,,,Propriétaire,,Kodeda,,,,,,,First name Last name,1/24/2008,,,,Gail Erickson,,,,,,,,,,,,,,0,,,Actif,1,,,,,,,,
Lene Aalling,123 4567,,Limoges,France,,,,,,,,,,,Limousin,112, avenue du Mercredi,,,,,,87100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Lene,,,,,,Assistant pour les achats,,Aalling,,,,,,,First name Last name,1/24/2008,,,,Alan Jackson,,Accessoires de loisirs LMN,,,,1,,,,,,,,0,,,Actif,1,,,,,,,,
Hervé Bouraima,123 4567,,Saint-Étienne,France,,,,,,,,,,,Rhône - Alpes,225, impasse du Jeudi,,,,,,42003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Hervé,,,,,,Propriétaire,,Bouraima,,,,,,,First name Last name,1/24/2008,,,,Jose Curry,,Fournitures de sport XYZ,,,,,,,,,,,,0,,,Actif,1,,,,,,,,
Elisabeth Krenthaller,123 4567,,Nantes,France,,,,,,,,,,,Pays-de-la Loire,223, boulevard du Jeudi,,,,,,44100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Elisabeth,,,,,,Directeur des achats,,Krenthaller,,,,,,,First name Last name,1/24/2008,,,,Gail Erickson,,Entreprise de VTT ABC,,,,,,,,,,,,0,,,Actif,1,,,,,,,,
Erwin Zischkas,123 4567,,Nantes,France,,,,,,,,,,,Pays-de-la Loire,344, boulevard du Samedi,,,,,,44100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Erwin,,,,,,Accompagnateur,,Zischka,,,,,,,First name Last name,1/24/2008,,,,Jose Curry,,Professionnels de la remise en forme LMN,,,,2,,,,,,,,0,,,Actif,1,,,Valeur par défaut,,,,,
Emmanuel Dubuc,123 4567,,Limoges,France,,,,,,,,,,,Limousin,344, boulevard du Lundi,,,,,,87100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Emmanuel,,,,,,Responsable des assistants,,Dubuc,,,,,,,First name Last name,1/24/2008,,,,Jose Curry,,Professionnels de la compétition LMN,,,,2,,,,,,,,0,,,Actif,1,,,Valeur par défaut,,,,,
Enrique Gil,123 4567,,Saint-Étienne,France,,,,,,,,,,,Rhône - Alpes,556, avenue du Mercredi,,,,,,42000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Enrique,,,,,,Directeur des achats,,Gil,,,,,,,First name Last name,1/24/2008,,,,Alan Jackson,,Entreprise de remise en forme ABC,,,,1,,,,,,,,0,,,Actif,1,,,,,,,,
Gitte Casparij,123 4567,,Rennes,France,,,,,,,,,,,Bretagne,112, impasse du Dimanche,,,,,,35200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Gitte,,,,,,Responsable administratif,,Casparij,,,,,,,First name Last name,1/24/2008,,,,Jose Curry,,Accessoires pour cycles XYZ,,,,2,,,,,,,,0,,,Actif,1,,,Valeur par défaut,,,,,
Kristian Gotsch,123 4567,,Orléans,France,,,,,,,,,,,Centre,334, impasse du Samedi,,,,,,45000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Kristian,,,,,,Assistant pour les achats,,Gotsch,,,,,,,First name Last name,1/24/2008,,,,Alan Jackson,,Magasin de compétition LMN,,,,1,,,,,,,,0,,,Actif,1,,,,,,,,
Michael Mogensen,123 4567,,Lille,France,,,,,,,,,,,Nord - Pas-de-Calais,344, avenue du Lundi,,,,,,59000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Michael,,,,,,Assistant aux achats,,Mogensen,,,,,,,First name Last name,1/24/2008,,,,Gail Erickson,,Entreprise de vélos ZYX,,,,,,,,,,,,0,,,Actif,1,,,,,,,,
Jesús Escolar,123 4567,,Rouen,France,,,,,,,,,,,Haute-Normandie,334, impasse du Dimanche,,,,,,76000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Jesús,,,,,,Assistant pour les achats,,Escolar,,,,,,,First name Last name,1/24/2008,,,,Alan Jackson,,Location pour le sport XYZ,,,,1,,,,,,,,0,,,Actif,1,,,,,,,,
Dorena Paschke,123 4567,,Clermont-Ferrand,France,,,,,,,,,,,Auvergne,225, boulevard du Samedi,,,,,,63100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,1,0,0,0,,someone@example.com,,,,,Dorena,,,,,,Assistant aux achats,,Paschke,,,,,,,First name Last name,1/24/2008,,,,Gail Erickson,,Fournitures de loisirs XYZ,,,,,,,,,,,,0,,,Actif,1,,,,,,,,
Steen Jakobsson,123 4567,,Amiens,France,,,,,,,,,,,Picardie,113, impasse du Vendredi,,,,,,80080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Steen,,,,,,Assistant pour les achats,,Jakobsson,,,,,,,First name Last name,1/24/2008,,,,Alan Jackson,,Détaillants du sport ABC,,,,1,,,,,,,,0,,,Actif,1,,,Valeur par défaut,,,,,
Herbert Dorner,123 4567,,Le Havre,France,,,,,,,,,,,Haute-Normandie,445, impasse du Lundi,,,,,,76620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Herbert,,,,,,Directeur,,Dorner,,,,,,,First name Last name,1/24/2008,,,,Jose Curry,,,,,,2,,,,,,,,0,,,Actif,1,,,Valeur par défaut,,,,,
Nicolo Petardo,123 4567,,Caen,France,,,,,,,,,,,Basse-Normandie,225, rue du Samedi,,,,,,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Nicolo,,,,,,Propriétaire,,Petardo,,,,,,,First name Last name,1/24/2008,,,,Alan Jackson,,Fournitures pour VTT LMN,,,,1,,,,,,,,0,,,Actif,1,,,,,,,,
Jesper Herp,123 4567,,Dijon,France,,,,,,,,,,,Bourgogne,556, impasse du Samedi,,,,,,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Jesper,,,,,,Directeur des achats,,Herp,,,,,,,First name Last name,1/24/2008,,,,Alan Jackson,,Équipements de remise en forme XYZ,,,,1,,,,,,,,0,,,Actif,1,,,Valeur par défaut,,,,,
Ivo Haemels,123 4567,,Besançon,France,,,,,,,,,,,Franche-Comté,223, boulevard du Lundi,,,,,,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,1,0,1,0,,someone@example.com,,,,,Ivo,,,,,,Assistant aux achats,,Haemels,,,,,,,First name Last name,1/24/2008,,,,Gail Erickson,,Entreprise de VTT LMN,,,,1,,,,,,,,0,,,Actif,1,,,,,,,,
ChristianeRønnow Jensen,123 4567,,Limoges,France,,,,,,,,,,,Limousin,223, avenue du Mercredi,,,,,,87100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,ChristianeRønnow,,,,,,Propriétaire,,Jensen,,,,,,,First name Last name,1/24/2008,,,,Alan Jackson,,Entreprise de remise en forme XYZ,,,,1,,,,,,,,0,,,Actif,1,,,Valeur par défaut,,,,,
Erik Andersen,123 4567,,Besançon,France,,,,,,,,,,,Franche-Comté,556, boulevard du Vendredi,,,,,,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Erik,,,,,,Propriétaire,,Andersen,,,,,,,First name Last name,1/24/2008,,,,Gail Erickson,,,,,,,,,,,,,,0,,,Actif,1,,,,,,,,
Thorsten Weinrich,123 4567,,Montpellier,France,,,,,,,,,,,Languedoc - Roussillon,112, rue du Jeudi,,,,,,34070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Thorsten,,,,,,Assistant pour les achats,,Weinrich,,,,,,,First name Last name,1/24/2008,,,,Alan Jackson,,Centre d'activités LMN,,,,1,,,,,,,,0,,,Actif,1,,,,,,,,
Berend Otten,123 4567,,Clermont-Ferrand,France,,,,,,,,,,,Auvergne,113, rue du Dimanche,,,,,,63100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Berend,,,,,,Responsable administratif,,Otten,,,,,,,First name Last name,1/24/2008,,,,Gail Erickson,,Détaillants du sport LMN,,,,,,,,,,,,0,,,Actif,1,,,,,,,,
Véronique Siebenschuch,123 4567,,Rouen,France,,,,,,,,,,,Haute-Normandie,223, impasse du Dimanche,,,,,,76000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Véronique,,,,,,Propriétaire,,Siebenschuch,,,,,,,First name Last name,1/24/2008,,,,Gail Erickson,,Équipements de compétition ABC,,,,,,,,,,,,0,,,Actif,1,,,,,,,,
Guido Chuffart,123 4567,,Besançon,France,,,,,,,,,,,Franche-Comté,112, boulevard du Lundi,,,,,,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Guido,,,,,,Directeur,,Chuffart,,,,,,,First name Last name,1/24/2008,,,,Jose Curry,,Accessoires de sport ABC,,,,2,,,,,,,,0,,,Actif,1,,,Valeur par défaut,,,,,
Nina Vietzen,123 4567,,Paris,France,,,,,,,,,,,Île-de-France,112, rue du Vendredi,,,,,,75010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Nina,,,,,,Directeur des achats,,Vietzen,,,,,,,First name Last name,1/24/2008,,,,Jose Curry,,Centre de loisirs ABC,,,,2,,,,,,,,0,,,Actif,1,,,,,,,,
Laura Giussani,123 4567,,Lille,France,,,,,,,,,,,Nord - Pas-de-Calais,112, rue du Mercredi,,,,,,59000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Laura,,,,,,Propriétaire,,Giussani,,,,,,,First name Last name,1/24/2008,,,,Alan Jackson,,Centre de compétition LMN,,,,1,,,,,,,,0,,,Actif,1,,,,,,,,
Ole Gotfred,123 4567,,Rouen,France,,,,,,,,,,,Haute-Normandie,556, impasse du Lundi,,,,,,76000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Ole,,,,,,Directeur des achats,,Gotfred,,,,,,,First name Last name,1/24/2008,,,,Alan Jackson,,Détaillants pour VTT XYZ,,,,2,,,,,,,,0,,,Actif,1,,,,,,,,
Steffen Tschimmel,123 4567,,Dijon,France,,,,,,,,,,,Bourgogne,445, impasse du Vendredi,,,,,,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,0,0,0,,someone@example.com,,,,,Steffen,,,,,,Directeur des achats,,Tschimmel,,,,,,,First name Last name,1/24/2008,,,,Alan Jackson,,Détaillants pour vélos LMN,,,,1,,,,,,,,0,,,Actif,1,,,,,,,,
Franziska Fiegler,123 4567,,Poitiers,France,,,,,,,,,,,Poitou - Charentes,123, avenue du Mardi,,,,,,86000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,1/24/2008,,,,,,,,0,1,0,0,,someone@example.com,,,,,Franziska,,,,,,Directeur des achats,,Fiegler,,,,,,,First name Last name,1/24/2008,,,,Alan Jackson,,Détaillants pour VTT LMN,,,,2,,,,,,,,0,,,Actif,1,,,,,,,,
