Name,Company Name,Business Phone,Address 1: Address Type,Address 1: County,Address 1: Fax,Address 1: Latitude,Address 1: Longitude,Address 1: Name,Address 1: Post Office Box,Address 1: Shipping Method,Address 1: Telephone 1,Address 1: Telephone 2,Address 1: Telephone 3,Address 1: UPS Zone,Address 1: UTC Offset,Address 2: Address Type,Address 2: City,Address 2: Country/Region,Address 2: County,Address 2: Fax,Address 2: Latitude,Address 2: Longitude,Address 2: Name,Address 2: Post Office Box,Address 2: Shipping Method,Address 2: State/Province,Address 2: Street 1,Address 2: Street 2,Address 2: Street 3,Address 2: Telephone 1,Address 2: Telephone 2,Address 2: Telephone 3,Address 2: UPS Zone,Address 2: UTC Offset,Address 2: ZIP/Postal Code,Annual Revenue,City,Country/Region,Created By,Created On,Customer,Description,Do not allow Bulk E-mails,Do not allow E-mails,Do not allow Faxes,Do not allow Mails,Do not allow Phone Calls,E-mail,E-mail Address 2,E-mail Address 3,Est. Close Date,Est. Value,Fax,First Name,Home Phone,Industry,Job Title,Last Date Included in Campaign,Last Name,Lead Source,Middle Name,Mobile Phone,Modified By,Modified On,No. of Employees,Other Phone,Propriétaire,Pager,Preferred Method of Contact,Priority,Rating,Sales Stage,Salutation,Send Marketing Materials,SIC Code,Source Campaign,State/Province,Status,Status Reason,Street 1,Street 2,Street 3,Topic,Web Site,Yomi First Name,Yomi Full Name,Yomi Last Name,Yomi Middle Name,ZIP/Postal Code,Est. Close Date Year,Est. Close Date Month,Est. Close Date Day,Est. Close Date Hour,Est. Close Date Minute,Est. Close Date Second,CreatedDate,Id
Diego Arteaga-Torreira,Détaillants des loisirs ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Orléans,,First name Last name,1/24/2008,,Pages jaunes,,0,0,0,0,someone@example.com,,,,"96 000,00",,Diego,,14,Assistant aux achats,,Arteaga Torreira,Autre,,,First name Last name,1/24/2008,73,,Patricia San Juan,,4,,2,,,0,,,Centre,Exclus,4,113.0, impasse du Mardi,,Nouveau magasin ouvert cette année - à suivre,,,,,,45000,1,3,13,21,42,45,2021-04-05 11:19:57.708896,10
Karina Agerby,Distributeurs de cycles XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150 000,00 €",Nantes,,First name Last name,1/24/2008,,Recommandé par l'un des employés d'Adventure Works.,,0,0,1,0,someone@example.com,,,,"51 000,00",,Karina,,14,Directeur des achats,,Agerby,Référence d'employé,,,First name Last name,1/24/2008,37,,Alan Jackson,,3,,2,,,0,,,Pays-de-la Loire,Ouvert,1,123.0, boulevard du Lundi,,50 VTT,,,,,,44100,1,3,13,21,42,45,2021-04-05 11:19:57.708896,11
Reto Käch,Distributeurs de vélos ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80 000,00 €",Rennes,,First name Last name,1/24/2008,,Prospect d'une campagne publicitaire,,1,0,0,0,someone@example.com,,,,"18 000,00",,Reto,,14,Directeur des achats,,Käch,Autre,,,First name Last name,1/24/2008,39,,Alan Jackson,,2,,1,,,0,,,Bretagne,Exclus,4,123.0, boulevard du Mardi,,"A renvoyé, par courrier électronique, un formulaire indiquant son intérêt pour les vélos de route",,,,,,35200,1,3,13,21,42,45,2021-04-05 11:19:57.708896,12
Flemming Nielsen,Distributeurs de VTT XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Rouen,,First name Last name,1/24/2008,,Pages jaunes,,0,0,1,0,someone@example.com,,,,"3 600,00",,Flemming,,14,Directeur des achats,,Nielsen,Autre,,,First name Last name,1/24/2008,43,,Jose Curry,,1,,2,,,0,,,Haute-Normandie,Inclus,3,123.0, impasse du Mardi,,VTT - peut-être 50,,,,,,76000,0,10,29,21,42,45,2021-04-05 11:19:57.708896,13
Tomás Navarro,Professionnels des loisirs XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150 000,00 €",Lyon,,First name Last name,1/24/2008,,Pages jaunes,,0,0,1,0,someone@example.com,,,,"44 000,00",,Tomás,,14,Directeur des achats,,Navarro,Autre,,,First name Last name,1/24/2008,25,,Alan Jackson,,1,,2,,,0,,,Rhône - Alpes,Ouvert,1,344.0, impasse du Lundi,,Nouveau magasin ouvert cette année - à suivre,,,,,,69001,0,10,29,21,42,45,2021-04-05 11:19:57.708896,14
Joachim Seidler,Distributeurs de VTT LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 000,00 €",Orléans,,First name Last name,1/24/2008,,Prospect d'une campagne publicitaire,,1,0,0,0,someone@example.com,,,,"1 200,00",,Joachim,,14,Propriétaire,,Seidler,Autre,,,First name Last name,1/24/2008,5,,Gail Erickson,,2,,1,,,0,,,Centre,Exclus,4,123.0, impasse du Lundi,,"A renvoyé, par courrier électronique, un formulaire indiquant son intérêt pour les vélos de route",,,,,,45000,0,11,29,21,42,45,2021-04-05 11:19:57.708896,15
Dorena Paschke,Fournitures de loisirs XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100 000,00 €",Clermont-Ferrand,,First name Last name,1/24/2008,,Prospect d'une campagne publicitaire,,1,0,0,0,someone@example.com,,,,"36 000,00",,Dorena,,14,Assistant aux achats,,Paschke,Autre,,,First name Last name,1/24/2008,95,,Gail Erickson,,2,,1,,,0,,,Auvergne,Inclus,3,225.0, boulevard du Samedi,,47 VTT-400 et VTT-400-W.,,,,,,63100,0,11,29,21,42,45,2021-04-05 11:19:57.708896,16
Dominik Paiha,Équipements de remise en forme XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80 000,00 €",Montpellier,,First name Last name,1/24/2008,,Recommandé par l'un des employés d'Adventure Works.,,0,0,0,0,someone@example.com,,,,"18 000,00",,Dominik,,14,Propriétaire,,Paiha,Référence d'employé,,,First name Last name,1/24/2008,6,,Alan Jackson,,4,,2,,,0,,,Languedoc - Roussillon,Inclus,3,223.0, rue du Jeudi,,3 vélos de route et de tourisme,,,,,,34070,1,2,14,21,42,45,2021-04-05 11:19:57.708896,17
Raffaella Bonaldi,Accessoires de remise en forme XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100 000,00 €",Nancy,,First name Last name,1/24/2008,,Prospect d'une campagne publicitaire,,1,1,0,0,someone@example.com,,,,"30 000,00",,Raffaella,,14,Propriétaire,,Bonaldi,Autre,,,First name Last name,1/24/2008,14,,Gail Erickson,,5,,1,,,0,,,Lorraine,Ouvert,1,344.0, boulevard du Mardi,,"A renvoyé, par courrier électronique, un formulaire indiquant son intérêt pour les vélos de route",,,,,,54000,1,1,22,21,42,45,2021-04-05 11:19:57.708896,18
Franziska Fiegler,Détaillants pour VTT LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Poitiers,,First name Last name,1/24/2008,,Nous a trouvé sur le Web,,0,1,0,0,someone@example.com,,,,"34 500,00",,Franziska,,14,Directeur des achats,,Fiegler,Web,,,First name Last name,1/24/2008,39,,Jose Curry,,1,,2,,,0,,,Poitou - Charentes,Inclus,3,123.0, avenue du Mardi,,"36 vélos de tourisme, série 2000 en différentes tailles",,,,,,86000,0,10,29,21,42,45,2021-04-05 11:19:57.708896,19
Michael Lund,Location de VTT LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150 000,00 €",Clermont-Ferrand,,First name Last name,1/24/2008,,Nous a trouvé sur le Web,,0,0,0,0,someone@example.com,,,,"51 000,00",,Michael,,14,Assistant aux achats,,Lund,Web,,,First name Last name,1/24/2008,91,,Gail Erickson,,1,,2,,,0,,,Auvergne,Ouvert,1,344.0, boulevard du Jeudi,,Ils possèdent un magasin en ligne pour les VTT uniquement,,,,,,63100,1,3,13,21,42,45,2021-04-05 11:19:57.708896,20
Sven Mortensen,Entreprise de vélos ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80 000,00 €",Châlons-en-Champagne,,First name Last name,1/24/2008,,Prospect d'une campagne publicitaire,,1,0,0,0,someone@example.com,,,,"2 400,00",,Sven,,14,Directeur des achats,,Mortensen,Autre,,,First name Last name,1/24/2008,42,,Alan Jackson,,1,,1,,,0,,,Champagne - Ardenne,Ouvert,1,344.0, avenue du Jeudi,,"A renvoyé, par courrier électronique, un formulaire indiquant son intérêt pour les vélos de route",,,,,,17620,1,1,12,21,42,45,2021-04-05 11:19:57.708896,21
Sonja Nitsche,Entreprise de compétition ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150 000,00 €",Montpellier,,First name Last name,1/24/2008,,Nous a trouvé sur le Web,,0,0,0,0,someone@example.com,,,,"64 000,00",,Sonja,,14,Assistant aux achats,,Nitsche,Web,,,First name Last name,1/24/2008,88,,Patricia San Juan,,2,,2,,,0,,,Languedoc - Roussillon,Ouvert,1,123.0, rue du Lundi,,Ils possèdent un magasin en ligne pour les VTT uniquement,,,,,,34070,0,8,14,21,42,45,2021-04-05 11:19:57.708896,22
Victor Stehmann,Fournitures de sport LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80 000,00 €",Marseille,,First name Last name,1/24/2008,,Recommandé par l'un des employés d'Adventure Works.,,0,0,1,0,someone@example.com,,,,"18 000,00",,Victor,,14,Propriétaire,,Stehmann,Référence d'employé,,,First name Last name,1/24/2008,5,,Jose Curry,,1,,2,,,0,,,Provence - Alpes - Côte d'Azur,Exclus,4,225.0, impasse du Dimanche,,10 VTT,,,,,,13001,1,-1,12,21,42,45,2021-04-05 11:19:57.708896,23
Giuseppe Russo,Équipements de loisirs ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150 000,00 €",Dijon,,First name Last name,1/24/2008,,Pages jaunes,,0,0,0,0,someone@example.com,,,,"34 500,00",,Giuseppe,,14,Assistant aux achats,,Russo,Autre,,,First name Last name,1/24/2008,97,,Gail Erickson,,1,,2,,,0,,,Bourgogne,Ouvert,1,223.0, impasse du Mardi,,Nouveau magasin ouvert cette année - à suivre,,,,,,21000,1,1,13,21,42,45,2021-04-05 11:19:57.708896,24
Ivo Haemels,Entreprise de VTT LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 000,00 €",Besançon,,First name Last name,1/24/2008,,Prospect d'une campagne publicitaire,,1,0,1,0,someone@example.com,,,,"25 500,00",,Ivo,,14,Assistant aux achats,,Haemels,Autre,,,First name Last name,1/24/2008,90,,Gail Erickson,,2,,1,,,0,,,Franche-Comté,Inclus,3,223.0, boulevard du Lundi,,Intéressé par 45 VTT,,,,,,25000,0,8,14,21,42,45,2021-04-05 11:19:57.708896,25
Armin Cremerius-Günther,Location de vélos LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Amiens,,First name Last name,1/24/2008,,Prospect d'une campagne publicitaire,,1,0,1,0,someone@example.com,,,,"66 000,00",,Armin,,14,Assistant aux achats,,Cremerius-Günther,Autre,,,First name Last name,1/24/2008,84,,Alan Jackson,,2,,1,,,0,,,Picardie,Inclus,3,334.0, avenue du Mercredi,,25-30 vélos de route le trimestre prochain,,,,,,80080,0,8,29,21,42,45,2021-04-05 11:19:57.708896,26
Marie Dubois,Détaillants pour VTT XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Toulouse,,First name Last name,1/24/2008,,Prospect d'une campagne publicitaire,,1,0,0,0,someone@example.com,,,,"76 500,00",,Marie,,14,Propriétaire,,Dubois,Autre,,,First name Last name,1/24/2008,2,,Alan Jackson,,1,,1,,,0,,,Midi - Pyrénées,Inclus,3,123.0, avenue du Mercredi,,Intéressé par 60 vélos de route,,,,,,31100,0,9,29,21,42,45,2021-04-05 11:19:57.708896,27
Gerhard Goeschl,Magasin du VTT LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Nice,,First name Last name,1/24/2008,,Recommandé par l'un des employés d'Adventure Works.,,0,0,0,0,someone@example.com,,,,"3 600,00",,Gerhard,,14,Assistant aux achats,,Goeschl,Référence d'employé,,,First name Last name,1/24/2008,66,,Gail Erickson,,5,,2,,,0,,,Provence - Alpes - Côte d'Azur,Inclus,3,445.0, boulevard du Lundi,,100 vélos de tourisme d'entrée de gamme,,,,,,O6100,1,-1,12,21,42,45,2021-04-05 11:19:57.708896,28
Oliver Kiel,Magasin de sport ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 000,00 €",Toulouse,,First name Last name,1/24/2008,,20 vélos cette année.,,0,0,0,0,someone@example.com,,,,"18 000,00",,Oliver,,14,Directeur des achats,,Kiel,Publicité,,,First name Last name,1/24/2008,10,,Jose Curry,,3,,1,,,0,,,Midi - Pyrénées,Ouvert,1,445.0, avenue du Lundi,,Commandera environ 20 vélos cette année.,,,,,,31100,0,8,14,21,42,45,2021-04-05 11:19:57.708896,29
Lone Kuhlmann,Centre d'activités XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150 000,00 €",Dijon,,First name Last name,1/24/2008,,Pages jaunes,,0,0,0,0,someone@example.com,,,,"54 000,00",,Lone,,14,Directeur des achats,,Kuhlmann,Autre,,,First name Last name,1/24/2008,40,,Patricia San Juan,,3,,2,,,0,,,Bourgogne,Ouvert,1,778.0, impasse du Dimanche,,Nouveau magasin ouvert cette année - à suivre,,,,,,21000,0,8,29,21,42,45,2021-04-05 11:19:57.708896,30
MiguelAngel Garcia,Magasin du VTT XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150 000,00 €",Paris,,First name Last name,1/24/2008,,Participe à notre concours marketing dont le prix est un vélo.,,0,0,0,0,someone@example.com,,,,"23 000,00",,MiguelAngel,,14,Directeur des achats,,Garcia,Autre,,,First name Last name,1/24/2008,29,,Alan Jackson,,1,,3,,,0,,,Île-de-France,Ouvert,1,445.0, boulevard du Mardi,,Bon prospect pour des cadres,,,,,,75010,1,-1,12,21,42,45,2021-04-05 11:19:57.708896,31
Stig Struve-Christensen,Magasin de cycles LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80 000,00 €",Caen,,First name Last name,1/24/2008,,Pages jaunes,,0,0,0,0,someone@example.com,,,,"23 000,00",,Stig,,14,Assistant aux achats,,Struve-Christensen,Autre,,,First name Last name,1/24/2008,70,,Gail Erickson,,2,,2,,,0,,,Basse-Normandie,Inclus,3,334.0, rue du Jeudi,,Intéressé par 35 Route-350.,,,,,,14001,1,1,13,21,42,45,2021-04-05 11:19:57.708896,32
Stefan Rißling,Location de cycles XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 000,00 €",Lille,,First name Last name,1/24/2008,,Pages jaunes,,0,0,0,0,someone@example.com,,,,"32 000,00",,Stefan,,14,Propriétaire,,Rißling,Autre,,,First name Last name,1/24/2008,8,,Gail Erickson,,2,,2,,,0,,,Nord - Pas-de-Calais,Inclus,3,334.0, avenue du Lundi,,4 vélos de tourisme.,,,,,,59000,1,-2,23,21,42,45,2021-04-05 11:19:57.708896,33
Patrik Müller,Location pour la compétition ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Limoges,,First name Last name,1/24/2008,,Recommandé par l'un des employés d'Adventure Works.,,0,0,0,0,someone@example.com,,,,"54 000,00",,Patrik,,14,Propriétaire,,Müller,Référence d'employé,,,First name Last name,1/24/2008,19,,Alan Jackson,,4,,2,,,0,,,Limousin,Inclus,3,334.0, boulevard du Lundi,,160 vélos.,,,,,,87100,1,-2,23,21,42,45,2021-04-05 11:19:57.708896,34
JaimeHumbertoBastidas Patiño,Détaillants pour vélos LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80 000,00 €",Reims,,First name Last name,1/24/2008,,Participe à notre concours marketing dont le prix est un vélo.,,0,0,0,0,someone@example.com,,,,"18 000,00",,JaimeHumbertoBastidas,,14,Directeur des achats,,Patiño,Autre,,,First name Last name,1/24/2008,27,,Alan Jackson,,5,,3,,,0,,,Champagne - Ardenne,Inclus,3,113.0, rue du Vendredi,,Peut-être 54 vélos de différents modèles.,,,,,,51100,1,-2,23,21,42,45,2021-04-05 11:19:57.708896,35
Loïg Raoul,Entreprise de loisirs XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Strasbourg,,First name Last name,1/24/2008,,Participe à notre concours marketing dont le prix est un vélo.,,0,0,0,0,someone@example.com,,,,"66 000,00",,Loïg,,14,Directeur des achats,,Raoul,Autre,,,First name Last name,1/24/2008,13,,Jose Curry,,2,,3,,,0,,,Alsace,Inclus,3,124.0, rue du Mercredi,,Réponse contenant des notices techniques,,,,,,67100,0,8,29,21,42,45,2021-04-05 11:19:57.708896,36
Stephan Adolphi,Équipements pour cycles LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80 000,00 €",Paris,,First name Last name,1/24/2008,,78 vélos cette année.,,0,0,0,0,someone@example.com,,,,"32 000,00",,Stephan,,14,Directeur des achats,,Adolphi,Publicité,,,First name Last name,1/24/2008,39,,Patricia San Juan,,4,,1,,,0,,,Île-de-France,Ouvert,1,223.0, rue du Vendredi,,Commandera environ 78 vélos cette année.,,,,,,75010,1,-2,23,21,42,45,2021-04-05 11:19:57.708896,37
Gerhard Sziber,Détaillants des loisirs LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150 000,00 €",Rouen,,First name Last name,1/24/2008,,4 vélos cette année.,,0,0,0,0,someone@example.com,,,,"44 000,00",,Gerhard,,14,Propriétaire,,Sziber,Publicité,,,First name Last name,1/24/2008,2,,Jose Curry,,1,,1,,,0,,,Haute-Normandie,Ouvert,1,113.0, impasse du Mercredi,,Commandera environ 4 vélos cette année.,,,,,,76000,1,-1,12,21,42,45,2021-04-05 11:19:57.708896,38
Christian Jene,Détaillants des loisirs XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Châlons-en-Champagne,,First name Last name,1/24/2008,,Recommandé par l'un des employés d'Adventure Works.,,0,0,0,0,someone@example.com,,,,"66 000,00",,Christian,,14,Directeur des achats,,Jene,Référence d'employé,,,First name Last name,1/24/2008,25,,Patricia San Juan,,2,,2,,,0,,,Champagne - Ardenne,Ouvert,1,113.0, impasse du Samedi,,33 VTT,,,,,,17620,1,1,13,21,42,45,2021-04-05 11:19:57.708896,39
RenéLund Madsen,Accessoires de loisirs ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Nantes,,First name Last name,1/24/2008,,Recommandé par l'un des employés d'Adventure Works.,,0,0,0,0,someone@example.com,,,,"66 000,00",,RenéLund,,14,Directeur des achats,,Madsen,Référence d'employé,,,First name Last name,1/24/2008,27,,Gail Erickson,,2,,2,,,0,,,Pays-de-la Loire,Ouvert,1,778.0, boulevard du Lundi,,33 VTT,,,,,,44100,0,8,14,21,42,45,2021-04-05 11:19:57.708896,40
Jens Johannsen,Accessoires de sport ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150 000,00 €",Rennes,,First name Last name,1/24/2008,,Recommandé par l'un des employés d'Adventure Works.,,0,1,0,0,someone@example.com,,,,"44 000,00",,Jens,,14,Directeur des achats,,Johannsen,Référence d'employé,,,First name Last name,1/24/2008,10,,Jose Curry,,2,,2,,,0,,,Bretagne,Ouvert,1,778.0, boulevard du Mardi,,27 VTT,,,,,,35200,0,8,14,21,42,45,2021-04-05 11:19:57.708896,41
Allan Guinot,Fournitures pour remise en forme ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Dijon,,First name Last name,1/24/2008,,Participe à notre concours marketing dont le prix est un vélo.,,0,0,0,0,someone@example.com,,,,"54 000,00",,Allan,,14,Assistant aux achats,,Guinot,Autre,,,First name Last name,1/24/2008,99,,Alan Jackson,,2,,3,,,0,,,Bourgogne,Inclus,3,225.0, impasse du Samedi,,Aime le Tourisme-2000,,,,,,21001,0,8,29,21,42,45,2021-04-05 11:19:57.708896,42
